amp_id,species,mic_ug_per_ml,n_measurements
290,pseudomonas aeruginosa,256.0,2
290,escherichia coli,64.0,1
290,staphylococcus aureus,373.3333333333333,3
291,pseudomonas aeruginosa,192.0,2
291,escherichia coli,128.0,1
291,staphylococcus aureus,426.6666666666667,3
292,pseudomonas aeruginosa,16.0,2
292,escherichia coli,14.0,2
292,staphylococcus aureus,16.0,3
292,klebsiella pneumoniae,16.0,1
293,pseudomonas aeruginosa,24.0,2
293,escherichia coli,16.0,1
293,staphylococcus aureus,16.0,3
294,pseudomonas aeruginosa,256.0,2
294,escherichia coli,1024.0,1
294,staphylococcus aureus,373.3333333333333,3
295,pseudomonas aeruginosa,20.0,2
295,escherichia coli,1024.0,1
295,staphylococcus aureus,352.0,3
296,pseudomonas aeruginosa,24.0,2
296,escherichia coli,16.0,2
296,staphylococcus aureus,8.0,3
296,klebsiella pneumoniae,32.0,1
297,escherichia coli,64.0,1
297,staphylococcus aureus,32.0,1
298,pseudomonas aeruginosa,128.0,2
298,escherichia coli,128.0,1
298,staphylococcus aureus,53.333333333333336,3
299,pseudomonas aeruginosa,128.0,2
299,escherichia coli,64.0,1
299,staphylococcus aureus,53.333333333333336,3
300,pseudomonas aeruginosa,96.0,2
300,escherichia coli,64.0,1
300,staphylococcus aureus,53.333333333333336,3
338,staphylococcus aureus,150.0,1
338,pseudomonas aeruginosa,150.0,1
370,escherichia coli,3.0,7
370,pseudomonas aeruginosa,71.2,5
370,staphylococcus aureus,7.115384615384615,13
370,bacillus subtilis,2.0,1
370,staphylococcus epidermidis,1.0,1
370,klebsiella pneumoniae,5.03125,4
382,staphylococcus aureus,50.0,2
382,escherichia coli,50.0,1
382,klebsiella pneumoniae,50.0,1
382,pseudomonas aeruginosa,50.0,1
384,escherichia coli,12.0,2
384,staphylococcus epidermidis,0.25,1
385,escherichia coli,24.0,2
385,staphylococcus epidermidis,2.0,1
386,escherichia coli,24.0,2
386,staphylococcus epidermidis,4.0,1
387,escherichia coli,32.0,2
387,staphylococcus epidermidis,16.0,1
388,escherichia coli,32.0,2
388,staphylococcus epidermidis,32.0,1
389,escherichia coli,12.0,2
389,staphylococcus epidermidis,32.0,1
390,escherichia coli,24.0,2
390,staphylococcus epidermidis,8.0,1
391,escherichia coli,64.0,2
391,staphylococcus epidermidis,64.0,1
392,escherichia coli,48.0,2
392,staphylococcus epidermidis,64.0,1
393,escherichia coli,64.0,2
393,staphylococcus epidermidis,64.0,1
394,escherichia coli,64.0,2
394,staphylococcus epidermidis,64.0,1
395,staphylococcus epidermidis,2.0,1
395,staphylococcus aureus,32.0,1
395,bacillus subtilis,1.0,1
395,escherichia coli,17.333333333333332,3
395,pseudomonas aeruginosa,8.0,1
396,escherichia coli,64.0,2
